"MTU (UTC)","Generation - Solar  [MW] Day Ahead/ BZN|IE(SEM)","Generation - Solar  [MW] Intraday / BZN|IE(SEM)","Generation - Solar  [MW] Current / BZN|IE(SEM)","Generation - Wind Offshore  [MW] Day Ahead/ BZN|IE(SEM)","Generation - Wind Offshore  [MW] Intraday / BZN|IE(SEM)","Generation - Wind Offshore  [MW] Current / BZN|IE(SEM)","Generation - Wind Onshore  [MW] Day Ahead/ BZN|IE(SEM)","Generation - Wind Onshore  [MW] Intraday / BZN|IE(SEM)","Generation - Wind Onshore  [MW] Current / BZN|IE(SEM)"
"05.01.2021 08:00 - 05.01.2021 09:00","n/e","n/e","n/e","n/e","n/e","n/e","1284","n/e","n/e"
"05.01.2021 09:00 - 05.01.2021 10:00","n/e","n/e","n/e","n/e","n/e","n/e","1222","n/e","n/e"
"05.01.2021 10:00 - 05.01.2021 11:00","n/e","n/e","n/e","n/e","n/e","n/e","1167","n/e","n/e"
"05.01.2021 11:00 - 05.01.2021 12:00","n/e","n/e","n/e","n/e","n/e","n/e","1098","n/e","n/e"
"05.01.2021 12:00 - 05.01.2021 13:00","n/e","n/e","n/e","n/e","n/e","n/e","1055","n/e","n/e"
"05.01.2021 13:00 - 05.01.2021 14:00","n/e","n/e","n/e","n/e","n/e","n/e","1034","n/e","n/e"
"05.01.2021 14:00 - 05.01.2021 15:00","n/e","n/e","n/e","n/e","n/e","n/e","1004","n/e","n/e"
"05.01.2021 15:00 - 05.01.2021 16:00","n/e","n/e","n/e","n/e","n/e","n/e","1001","n/e","n/e"
"05.01.2021 16:00 - 05.01.2021 17:00","n/e","n/e","n/e","n/e","n/e","n/e","1027","n/e","n/e"
"05.01.2021 17:00 - 05.01.2021 18:00","n/e","n/e","n/e","n/e","n/e","n/e","1065","n/e","n/e"
"05.01.2021 18:00 - 05.01.2021 19:00","n/e","n/e","n/e","n/e","n/e","n/e","1088","n/e","n/e"
"05.01.2021 19:00 - 05.01.2021 20:00","n/e","n/e","n/e","n/e","n/e","n/e","1070","n/e","n/e"
"05.01.2021 20:00 - 05.01.2021 21:00","n/e","n/e","n/e","n/e","n/e","n/e","1041","n/e","n/e"
"05.01.2021 21:00 - 05.01.2021 22:00","n/e","n/e","n/e","n/e","n/e","n/e","997","n/e","n/e"
